timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,2039.0,2040,60451,54699,2025-04-01 00:00:00,Adamantite bar,2361
1743469200,2028.0,2009,109523,91056,2025-04-01 01:00:00,Adamantite bar,2361
1743472800,2024.0,2014,53242,51353,2025-04-01 02:00:00,Adamantite bar,2361
1743476400,2025.0,2012,24954,51567,2025-04-01 03:00:00,Adamantite bar,2361
1743480000,2049.0,2024,45308,30846,2025-04-01 04:00:00,Adamantite bar,2361
1743483600,2025.0,2017,6839,55888,2025-04-01 05:00:00,Adamantite bar,2361
1743487200,2069.0,2022,18709,32181,2025-04-01 06:00:00,Adamantite bar,2361
1743490800,2093.0,2078,8083,21063,2025-04-01 07:00:00,Adamantite bar,2361
1743494400,2075.0,2065,15303,45147,2025-04-01 08:00:00,Adamantite bar,2361
1743498000,2038.0,2018,47141,146148,2025-04-01 09:00:00,Adamantite bar,2361
1743501600,2013.0,2053,12818,22101,2025-04-01 10:00:00,Adamantite bar,2361
1743505200,2022.0,2014,49839,22605,2025-04-01 11:00:00,Adamantite bar,2361
1743508800,2023.0,2001,28746,13384,2025-04-01 12:00:00,Adamantite bar,2361
1743512400,2021.0,2028,49921,29288,2025-04-01 13:00:00,Adamantite bar,2361
1743516000,2028.0,2017,57566,32359,2025-04-01 14:00:00,Adamantite bar,2361
1743519600,2037.0,2024,45360,32561,2025-04-01 15:00:00,Adamantite bar,2361
1743523200,2029.0,2009,71418,73378,2025-04-01 16:00:00,Adamantite bar,2361
1743526800,2028.0,2022,98365,57521,2025-04-01 17:00:00,Adamantite bar,2361
1743530400,2030.0,2013,82213,23198,2025-04-01 18:00:00,Adamantite bar,2361
1743534000,2039.0,2023,44635,31182,2025-04-01 19:00:00,Adamantite bar,2361
1743537600,2032.0,2019,52298,70163,2025-04-01 20:00:00,Adamantite bar,2361
1743541200,2037.0,2019,58074,32808,2025-04-01 21:00:00,Adamantite bar,2361
1743544800,2034.0,2014,47668,28354,2025-04-01 22:00:00,Adamantite bar,2361
1743548400,2028.0,2000,65446,139527,2025-04-01 23:00:00,Adamantite bar,2361
1743552000,2036.0,2019,26899,34531,2025-04-02 00:00:00,Adamantite bar,2361
1743555600,2021.0,1995,63116,44215,2025-04-02 01:00:00,Adamantite bar,2361
1743559200,2023.0,1993,67493,44834,2025-04-02 02:00:00,Adamantite bar,2361
1743562800,2031.0,2014,56876,49918,2025-04-02 03:00:00,Adamantite bar,2361
1743566400,2013.0,1998,51425,35942,2025-04-02 04:00:00,Adamantite bar,2361
1743570000,2028.0,2024,3869,58171,2025-04-02 05:00:00,Adamantite bar,2361
1743573600,2026.0,2017,37526,24188,2025-04-02 06:00:00,Adamantite bar,2361
1743577200,2028.0,2012,30648,36573,2025-04-02 07:00:00,Adamantite bar,2361
1743580800,2026.0,2000,36457,13547,2025-04-02 08:00:00,Adamantite bar,2361
1743584400,2018.0,1997,14351,31266,2025-04-02 09:00:00,Adamantite bar,2361
1743588000,2021.0,2004,9518,20886,2025-04-02 10:00:00,Adamantite bar,2361
1743591600,2042.0,2034,13880,13381,2025-04-02 11:00:00,Adamantite bar,2361
1743595200,2025.0,2007,30534,21189,2025-04-02 12:00:00,Adamantite bar,2361
1743598800,2022.0,2004,40188,61519,2025-04-02 13:00:00,Adamantite bar,2361
1743602400,2016.0,2006,57932,15337,2025-04-02 14:00:00,Adamantite bar,2361
1743606000,2017.0,2010,120471,16780,2025-04-02 15:00:00,Adamantite bar,2361
1743609600,2020.0,2011,72141,18187,2025-04-02 16:00:00,Adamantite bar,2361
1743613200,2000.0,1992,119842,28535,2025-04-02 17:00:00,Adamantite bar,2361
1743616800,2012.0,1995,125768,22704,2025-04-02 18:00:00,Adamantite bar,2361
1743620400,2029.0,2012,116946,30370,2025-04-02 19:00:00,Adamantite bar,2361
1743624000,2029.0,2015,31518,53908,2025-04-02 20:00:00,Adamantite bar,2361
1743627600,2036.0,2022,53862,38567,2025-04-02 21:00:00,Adamantite bar,2361
1743631200,2050.0,2034,67532,56913,2025-04-02 22:00:00,Adamantite bar,2361
1743634800,2035.0,2028,43460,23749,2025-04-02 23:00:00,Adamantite bar,2361
1743638400,2017.0,2015,30653,152357,2025-04-03 00:00:00,Adamantite bar,2361
1743642000,2058.0,2039,5586,71286,2025-04-03 01:00:00,Adamantite bar,2361
1743645600,2033.0,2021,39249,28292,2025-04-03 02:00:00,Adamantite bar,2361
1743649200,2012.0,2012,65317,24739,2025-04-03 03:00:00,Adamantite bar,2361
1743652800,2020.0,2009,22742,27374,2025-04-03 04:00:00,Adamantite bar,2361
1743656400,2013.0,2017,20535,12104,2025-04-03 05:00:00,Adamantite bar,2361
1743660000,2029.0,2038,20021,11607,2025-04-03 06:00:00,Adamantite bar,2361
1743663600,2055.0,2027,18777,13682,2025-04-03 07:00:00,Adamantite bar,2361
1743667200,2024.0,2011,17918,12348,2025-04-03 08:00:00,Adamantite bar,2361
1743670800,2050.0,2074,19764,50987,2025-04-03 09:00:00,Adamantite bar,2361
1743674400,2066.0,2044,32024,15423,2025-04-03 10:00:00,Adamantite bar,2361
1743678000,2035.0,2020,23208,19769,2025-04-03 11:00:00,Adamantite bar,2361
1743681600,2034.0,2024,44995,10984,2025-04-03 12:00:00,Adamantite bar,2361
1743685200,2028.0,2017,60391,23796,2025-04-03 13:00:00,Adamantite bar,2361
1743688800,2022.0,2006,52882,14016,2025-04-03 14:00:00,Adamantite bar,2361
1743692400,2015.0,1996,67201,72099,2025-04-03 15:00:00,Adamantite bar,2361
1743696000,2013.0,2001,47472,24094,2025-04-03 16:00:00,Adamantite bar,2361
1743699600,2028.0,2009,55949,19630,2025-04-03 17:00:00,Adamantite bar,2361
1743703200,2023.0,2020,37541,52846,2025-04-03 18:00:00,Adamantite bar,2361
1743706800,2033.0,2018,66957,61428,2025-04-03 19:00:00,Adamantite bar,2361
1743710400,2025.0,2024,27070,32548,2025-04-03 20:00:00,Adamantite bar,2361
1743714000,2012.0,2004,89414,81585,2025-04-03 21:00:00,Adamantite bar,2361
1743717600,2017.0,1991,33257,118677,2025-04-03 22:00:00,Adamantite bar,2361
1743721200,2024.0,1998,55743,69381,2025-04-03 23:00:00,Adamantite bar,2361
1743724800,2014.0,1996,41099,32770,2025-04-04 00:00:00,Adamantite bar,2361
1743728400,2023.0,2014,46388,37750,2025-04-04 01:00:00,Adamantite bar,2361
1743732000,2017.0,2007,37115,30878,2025-04-04 02:00:00,Adamantite bar,2361
1743735600,2021.0,2017,11303,30370,2025-04-04 03:00:00,Adamantite bar,2361
1743739200,2021.0,2021,13451,24580,2025-04-04 04:00:00,Adamantite bar,2361
1743742800,2020.0,2003,37305,60994,2025-04-04 05:00:00,Adamantite bar,2361
1743746400,2015.0,2014,41779,40257,2025-04-04 06:00:00,Adamantite bar,2361
1743750000,2011.0,1989,43134,17001,2025-04-04 07:00:00,Adamantite bar,2361
1743753600,2015.0,1988,17075,18215,2025-04-04 08:00:00,Adamantite bar,2361
1743757200,2005.0,1993,67318,10893,2025-04-04 09:00:00,Adamantite bar,2361
1743760800,2004.0,1989,15020,16510,2025-04-04 10:00:00,Adamantite bar,2361
1743764400,2012.0,1984,21805,25536,2025-04-04 11:00:00,Adamantite bar,2361
1743768000,2019.0,2006,63013,31346,2025-04-04 12:00:00,Adamantite bar,2361
1743771600,2024.0,2015,95882,21993,2025-04-04 13:00:00,Adamantite bar,2361
1743775200,2013.0,2012,46794,49332,2025-04-04 14:00:00,Adamantite bar,2361
1743778800,2017.0,2011,40862,21639,2025-04-04 15:00:00,Adamantite bar,2361
1743782400,2002.0,1986,117159,37163,2025-04-04 16:00:00,Adamantite bar,2361
1743786000,2013.0,2004,41760,34935,2025-04-04 17:00:00,Adamantite bar,2361
1743789600,2007.0,2002,60341,31670,2025-04-04 18:00:00,Adamantite bar,2361
1743793200,2001.0,1988,126771,67259,2025-04-04 19:00:00,Adamantite bar,2361
1743796800,2000.0,1986,123417,47727,2025-04-04 20:00:00,Adamantite bar,2361
1743800400,2007.0,1983,66670,41104,2025-04-04 21:00:00,Adamantite bar,2361
1743804000,2004.0,1991,97208,25207,2025-04-04 22:00:00,Adamantite bar,2361
1743807600,2005.0,1984,96145,36028,2025-04-04 23:00:00,Adamantite bar,2361
1743811200,2001.0,1989,26595,39523,2025-04-05 00:00:00,Adamantite bar,2361
1743814800,1992.0,1990,84269,19986,2025-04-05 01:00:00,Adamantite bar,2361
1743818400,2012.0,2005,43218,54641,2025-04-05 02:00:00,Adamantite bar,2361
1743822000,2003.0,2000,45476,17834,2025-04-05 03:00:00,Adamantite bar,2361
1743825600,1998.0,1989,63556,22982,2025-04-05 04:00:00,Adamantite bar,2361
1743829200,1993.0,1982,50738,29209,2025-04-05 05:00:00,Adamantite bar,2361
1743832800,1999.0,1982,72647,30809,2025-04-05 06:00:00,Adamantite bar,2361
1743836400,1995.0,1977,36056,43097,2025-04-05 07:00:00,Adamantite bar,2361
1743840000,1984.0,1977,32497,27830,2025-04-05 08:00:00,Adamantite bar,2361
1743843600,1974.0,1956,57441,16736,2025-04-05 09:00:00,Adamantite bar,2361
1743847200,2004.0,1980,35798,19397,2025-04-05 10:00:00,Adamantite bar,2361
1743850800,1991.0,1971,88155,20435,2025-04-05 11:00:00,Adamantite bar,2361
1743854400,1997.0,1987,52429,17056,2025-04-05 12:00:00,Adamantite bar,2361
1743858000,1982.0,1975,70429,28053,2025-04-05 13:00:00,Adamantite bar,2361
1743861600,1990.0,1965,70417,28912,2025-04-05 14:00:00,Adamantite bar,2361
1743865200,1965.0,1956,79082,25250,2025-04-05 15:00:00,Adamantite bar,2361
1743868800,1994.0,1973,63276,36098,2025-04-05 16:00:00,Adamantite bar,2361
1743872400,1978.0,1957,99288,69672,2025-04-05 17:00:00,Adamantite bar,2361
1743876000,1966.0,1945,39001,31944,2025-04-05 18:00:00,Adamantite bar,2361
1743879600,1969.0,1951,95315,32504,2025-04-05 19:00:00,Adamantite bar,2361
1743883200,1970.0,1952,38186,37998,2025-04-05 20:00:00,Adamantite bar,2361
1743886800,1960.0,1945,106007,37817,2025-04-05 21:00:00,Adamantite bar,2361
1743890400,1952.0,1935,59849,37720,2025-04-05 22:00:00,Adamantite bar,2361
1743894000,1946.0,1928,70427,27860,2025-04-05 23:00:00,Adamantite bar,2361
1743897600,1964.0,1942,129439,56060,2025-04-06 00:00:00,Adamantite bar,2361
1743901200,1950.0,1932,59141,67702,2025-04-06 01:00:00,Adamantite bar,2361
1743904800,1955.0,1928,84554,35467,2025-04-06 02:00:00,Adamantite bar,2361
1743908400,1937.0,1915,110441,38366,2025-04-06 03:00:00,Adamantite bar,2361
1743912000,1938.0,1918,50022,15584,2025-04-06 04:00:00,Adamantite bar,2361
1743915600,1939.0,1917,23098,44719,2025-04-06 05:00:00,Adamantite bar,2361
1743919200,1942.0,1925,67149,14653,2025-04-06 06:00:00,Adamantite bar,2361
1743922800,1926.0,1930,17881,26605,2025-04-06 07:00:00,Adamantite bar,2361
1743926400,1932.0,1913,81450,37767,2025-04-06 08:00:00,Adamantite bar,2361
1743930000,1929.0,1914,42020,13815,2025-04-06 09:00:00,Adamantite bar,2361
1743933600,1923.0,1905,66270,13980,2025-04-06 10:00:00,Adamantite bar,2361
1743937200,1917.0,1905,102930,12601,2025-04-06 11:00:00,Adamantite bar,2361
1743940800,1933.0,1914,88391,21425,2025-04-06 12:00:00,Adamantite bar,2361
1743944400,1921.0,1907,56981,37862,2025-04-06 13:00:00,Adamantite bar,2361
1743948000,1930.0,1917,81602,29017,2025-04-06 14:00:00,Adamantite bar,2361
1743951600,1922.0,1905,104733,34005,2025-04-06 15:00:00,Adamantite bar,2361
1743955200,1927.0,1902,39429,150748,2025-04-06 16:00:00,Adamantite bar,2361
1743958800,1927.0,1904,116566,75185,2025-04-06 17:00:00,Adamantite bar,2361
1743962400,1934.0,1908,156654,135429,2025-04-06 18:00:00,Adamantite bar,2361
1743966000,1935.0,1915,133570,57453,2025-04-06 19:00:00,Adamantite bar,2361
1743969600,1927.0,1907,187031,31481,2025-04-06 20:00:00,Adamantite bar,2361
1743973200,1920.0,1901,108308,20892,2025-04-06 21:00:00,Adamantite bar,2361
1743976800,1929.0,1906,80417,90110,2025-04-06 22:00:00,Adamantite bar,2361
1743980400,1923.0,1905,169758,22889,2025-04-06 23:00:00,Adamantite bar,2361
1743984000,1904.0,1902,177307,117914,2025-04-07 00:00:00,Adamantite bar,2361
1743987600,1932.0,1908,56436,48237,2025-04-07 01:00:00,Adamantite bar,2361
1743991200,1924.0,1907,46036,27742,2025-04-07 02:00:00,Adamantite bar,2361
1743994800,1926.0,1910,70991,38966,2025-04-07 03:00:00,Adamantite bar,2361
1743998400,1937.0,1913,17504,15613,2025-04-07 04:00:00,Adamantite bar,2361
1744002000,1934.0,1906,90923,50082,2025-04-07 05:00:00,Adamantite bar,2361
1744005600,1936.0,1903,53900,179838,2025-04-07 06:00:00,Adamantite bar,2361
1744009200,1925.0,1919,12645,13705,2025-04-07 07:00:00,Adamantite bar,2361
1744012800,1921.0,1905,32998,8425,2025-04-07 08:00:00,Adamantite bar,2361
1744016400,1927.0,1915,15138,27852,2025-04-07 09:00:00,Adamantite bar,2361
1744020000,1933.0,1913,31971,12640,2025-04-07 10:00:00,Adamantite bar,2361
1744023600,1915.0,1902,46311,72285,2025-04-07 11:00:00,Adamantite bar,2361
1744027200,1911.0,1901,86193,7747,2025-04-07 12:00:00,Adamantite bar,2361
1744030800,1919.0,1909,20711,37184,2025-04-07 13:00:00,Adamantite bar,2361
1744034400,1917.0,1917,7016,31144,2025-04-07 14:00:00,Adamantite bar,2361
1744038000,1928.0,1919,22954,26509,2025-04-07 15:00:00,Adamantite bar,2361
1744041600,1920.0,1916,50908,21129,2025-04-07 16:00:00,Adamantite bar,2361
1744045200,1927.0,1917,54627,13076,2025-04-07 17:00:00,Adamantite bar,2361
1744048800,1920.0,1924,8129,46181,2025-04-07 18:00:00,Adamantite bar,2361
1744052400,1930.0,1934,43101,53518,2025-04-07 19:00:00,Adamantite bar,2361
1744056000,1960.0,1929,59692,59155,2025-04-07 20:00:00,Adamantite bar,2361
1744059600,1944.0,1919,68771,85847,2025-04-07 21:00:00,Adamantite bar,2361
1744063200,1976.0,1954,36325,39836,2025-04-07 22:00:00,Adamantite bar,2361
1744066800,1964.0,1939,43140,92077,2025-04-07 23:00:00,Adamantite bar,2361
1744070400,1955.0,1928,39766,74053,2025-04-08 00:00:00,Adamantite bar,2361
1744074000,1940.0,1920,19492,122200,2025-04-08 01:00:00,Adamantite bar,2361
1744077600,1975.0,1944,32608,26284,2025-04-08 02:00:00,Adamantite bar,2361
1744081200,1968.0,1948,32407,32578,2025-04-08 03:00:00,Adamantite bar,2361
1744084800,1975.0,1937,21258,53436,2025-04-08 04:00:00,Adamantite bar,2361
1744088400,1958.0,1931,48762,24132,2025-04-08 05:00:00,Adamantite bar,2361
1744092000,1962.0,1932,51878,29998,2025-04-08 06:00:00,Adamantite bar,2361
1744095600,1969.0,1948,32846,51323,2025-04-08 07:00:00,Adamantite bar,2361
1744099200,1963.0,1942,31876,30154,2025-04-08 08:00:00,Adamantite bar,2361
1744102800,1982.0,1957,27767,38214,2025-04-08 09:00:00,Adamantite bar,2361
1744106400,1986.0,1969,51184,25903,2025-04-08 10:00:00,Adamantite bar,2361
1744110000,1985.0,1954,60133,26151,2025-04-08 11:00:00,Adamantite bar,2361
1744113600,1989.0,1962,32876,31899,2025-04-08 12:00:00,Adamantite bar,2361
1744117200,1991.0,1964,30911,33349,2025-04-08 13:00:00,Adamantite bar,2361
1744120800,2006.0,1993,72890,23298,2025-04-08 14:00:00,Adamantite bar,2361
1744124400,2015.0,1993,39746,46581,2025-04-08 15:00:00,Adamantite bar,2361
1744128000,2001.0,1980,75605,108668,2025-04-08 16:00:00,Adamantite bar,2361
1744131600,2015.0,1996,26219,22716,2025-04-08 17:00:00,Adamantite bar,2361
1744135200,2011.0,1993,35590,36724,2025-04-08 18:00:00,Adamantite bar,2361
1744138800,2024.0,2004,40967,71913,2025-04-08 19:00:00,Adamantite bar,2361
1744142400,2078.0,2030,51208,43520,2025-04-08 20:00:00,Adamantite bar,2361
1744146000,2035.0,2020,100798,109343,2025-04-08 21:00:00,Adamantite bar,2361
1744149600,2033.0,2009,39446,63652,2025-04-08 22:00:00,Adamantite bar,2361
1744153200,2036.0,2026,35734,49840,2025-04-08 23:00:00,Adamantite bar,2361
1744156800,2086.0,2046,44126,51478,2025-04-09 00:00:00,Adamantite bar,2361
1744160400,2082.0,2051,55471,55304,2025-04-09 01:00:00,Adamantite bar,2361
1744164000,2072.0,2036,42385,37647,2025-04-09 02:00:00,Adamantite bar,2361
1744167600,2066.0,2038,47140,24993,2025-04-09 03:00:00,Adamantite bar,2361
1744171200,2070.0,2040,22697,30374,2025-04-09 04:00:00,Adamantite bar,2361
1744174800,2067.0,2045,34094,46748,2025-04-09 05:00:00,Adamantite bar,2361
1744178400,2049.0,2023,106547,31491,2025-04-09 06:00:00,Adamantite bar,2361
1744182000,2083.0,2043,40519,17517,2025-04-09 07:00:00,Adamantite bar,2361
1744185600,2068.0,2044,17998,18566,2025-04-09 08:00:00,Adamantite bar,2361
1744189200,2058.0,2035,48834,29618,2025-04-09 09:00:00,Adamantite bar,2361
1744192800,2041.0,2036,133,47657,2025-04-09 10:00:00,Adamantite bar,2361
1744196400,2056.0,2017,37534,195220,2025-04-09 11:00:00,Adamantite bar,2361
1744200000,2050.0,2029,2629,48502,2025-04-09 12:00:00,Adamantite bar,2361
1744203600,2052.0,2038,41514,21525,2025-04-09 13:00:00,Adamantite bar,2361
1744207200,2061.0,2043,51873,23170,2025-04-09 14:00:00,Adamantite bar,2361
1744210800,2061.0,2046,11909,19124,2025-04-09 15:00:00,Adamantite bar,2361
1744214400,2078.0,2046,72734,28658,2025-04-09 16:00:00,Adamantite bar,2361
1744218000,2082.0,2044,52267,116744,2025-04-09 17:00:00,Adamantite bar,2361
1744221600,2071.0,2034,66614,75982,2025-04-09 18:00:00,Adamantite bar,2361
1744225200,2089.0,2055,19485,22308,2025-04-09 19:00:00,Adamantite bar,2361
1744228800,2079.0,2052,67443,87102,2025-04-09 20:00:00,Adamantite bar,2361
1744232400,2076.0,2051,56166,47016,2025-04-09 21:00:00,Adamantite bar,2361
1744236000,2069.0,2049,29677,51349,2025-04-09 22:00:00,Adamantite bar,2361
1744239600,2054.0,2036,45290,70705,2025-04-09 23:00:00,Adamantite bar,2361
1744243200,2039.0,2036,26437,41015,2025-04-10 00:00:00,Adamantite bar,2361
1744246800,2041.0,2039,31568,35345,2025-04-10 01:00:00,Adamantite bar,2361
1744250400,2087.0,2060,53764,20673,2025-04-10 02:00:00,Adamantite bar,2361
1744254000,2083.0,2054,42532,29054,2025-04-10 03:00:00,Adamantite bar,2361
1744257600,2037.0,2034,80530,99744,2025-04-10 04:00:00,Adamantite bar,2361
1744261200,2071.0,2041,38365,39197,2025-04-10 05:00:00,Adamantite bar,2361
1744264800,2074.0,2046,16538,12796,2025-04-10 06:00:00,Adamantite bar,2361
1744268400,2088.0,2051,13891,27308,2025-04-10 07:00:00,Adamantite bar,2361
1744272000,2080.0,2052,33081,33352,2025-04-10 08:00:00,Adamantite bar,2361
1744275600,2075.0,2034,8842,15076,2025-04-10 09:00:00,Adamantite bar,2361
1744279200,2082.0,2054,53060,27855,2025-04-10 10:00:00,Adamantite bar,2361
1744282800,2065.0,2047,33404,54320,2025-04-10 11:00:00,Adamantite bar,2361
1744286400,2054.0,2038,45417,18057,2025-04-10 12:00:00,Adamantite bar,2361
1744290000,2061.0,2037,10483,22692,2025-04-10 13:00:00,Adamantite bar,2361
1744293600,2081.0,2055,34487,19210,2025-04-10 14:00:00,Adamantite bar,2361
1744297200,2218.0,2189,15330,57144,2025-04-10 15:00:00,Adamantite bar,2361
1744300800,2132.0,2104,114263,62978,2025-04-10 16:00:00,Adamantite bar,2361
1744304400,2059.0,2052,117804,23255,2025-04-10 17:00:00,Adamantite bar,2361
1744308000,2045.0,2037,84372,34450,2025-04-10 18:00:00,Adamantite bar,2361
1744311600,2067.0,2052,49486,72287,2025-04-10 19:00:00,Adamantite bar,2361
1744315200,2053.0,2028,134678,45634,2025-04-10 20:00:00,Adamantite bar,2361
1744318800,2059.0,2044,48970,18713,2025-04-10 21:00:00,Adamantite bar,2361
1744322400,2062.0,2053,48631,22464,2025-04-10 22:00:00,Adamantite bar,2361
1744326000,2058.0,2058,23976,18606,2025-04-10 23:00:00,Adamantite bar,2361
1744329600,2058.0,2145,29259,45254,2025-04-11 00:00:00,Adamantite bar,2361
1744333200,2036.0,2121,132267,72103,2025-04-11 01:00:00,Adamantite bar,2361
1744336800,2049.0,2031,49233,28234,2025-04-11 02:00:00,Adamantite bar,2361
1744340400,2135.0,2115,9345,50436,2025-04-11 03:00:00,Adamantite bar,2361
1744344000,2118.0,2066,54257,50114,2025-04-11 04:00:00,Adamantite bar,2361
1744347600,2085.0,2081,27065,27410,2025-04-11 05:00:00,Adamantite bar,2361
1744351200,2056.0,2031,26416,25846,2025-04-11 06:00:00,Adamantite bar,2361
1744354800,2097.0,2065,14352,15936,2025-04-11 07:00:00,Adamantite bar,2361
1744358400,2082.0,2069,9063,6140,2025-04-11 08:00:00,Adamantite bar,2361
1744362000,2302.0,2160,13277,14319,2025-04-11 09:00:00,Adamantite bar,2361
1744365600,2346.0,2252,12504,32026,2025-04-11 10:00:00,Adamantite bar,2361
1744369200,2233.0,2199,3919,19158,2025-04-11 11:00:00,Adamantite bar,2361
1744372800,2192.0,2170,40029,22665,2025-04-11 12:00:00,Adamantite bar,2361
1744376400,2158.0,2158,36137,33278,2025-04-11 13:00:00,Adamantite bar,2361
1744380000,2159.0,2109,48033,38882,2025-04-11 14:00:00,Adamantite bar,2361
1744383600,2140.0,2120,56865,49007,2025-04-11 15:00:00,Adamantite bar,2361
1744387200,2115.0,2092,67141,37910,2025-04-11 16:00:00,Adamantite bar,2361
1744390800,2117.0,2090,50841,21390,2025-04-11 17:00:00,Adamantite bar,2361
1744394400,2103.0,2103,57266,93911,2025-04-11 18:00:00,Adamantite bar,2361
1744398000,2111.0,2074,57840,63308,2025-04-11 19:00:00,Adamantite bar,2361
1744401600,2147.0,2126,54511,95072,2025-04-11 20:00:00,Adamantite bar,2361
1744405200,2098.0,2123,88174,97257,2025-04-11 21:00:00,Adamantite bar,2361
1744408800,2092.0,2073,149751,17651,2025-04-11 22:00:00,Adamantite bar,2361
1744412400,2117.0,2084,59507,57835,2025-04-11 23:00:00,Adamantite bar,2361
1744416000,2143.0,2095,37529,63185,2025-04-12 00:00:00,Adamantite bar,2361
1744419600,2101.0,2076,25379,96032,2025-04-12 01:00:00,Adamantite bar,2361
1744423200,2077.0,2063,40808,26431,2025-04-12 02:00:00,Adamantite bar,2361
1744426800,2109.0,2150,4829,57843,2025-04-12 03:00:00,Adamantite bar,2361
1744430400,2101.0,2074,49679,45665,2025-04-12 04:00:00,Adamantite bar,2361
1744434000,2101.0,2084,33953,40904,2025-04-12 05:00:00,Adamantite bar,2361
1744437600,2104.0,2081,19568,25539,2025-04-12 06:00:00,Adamantite bar,2361
1744441200,2091.0,2072,17721,15027,2025-04-12 07:00:00,Adamantite bar,2361
1744444800,2073.0,2066,227794,21871,2025-04-12 08:00:00,Adamantite bar,2361
1744448400,2094.0,2057,30321,6987,2025-04-12 09:00:00,Adamantite bar,2361
1744452000,2095.0,2061,26154,20463,2025-04-12 10:00:00,Adamantite bar,2361
1744455600,2100.0,2080,27408,23653,2025-04-12 11:00:00,Adamantite bar,2361
1744459200,2182.0,2122,45503,18880,2025-04-12 12:00:00,Adamantite bar,2361
1744462800,2294.0,2198,23184,46965,2025-04-12 13:00:00,Adamantite bar,2361
1744466400,2137.0,2116,36107,44320,2025-04-12 14:00:00,Adamantite bar,2361
1744470000,2189.0,2201,32871,115055,2025-04-12 15:00:00,Adamantite bar,2361
1744473600,2180.0,2147,35459,48447,2025-04-12 16:00:00,Adamantite bar,2361
1744477200,2110.0,2122,62122,26637,2025-04-12 17:00:00,Adamantite bar,2361
1744480800,2108.0,2077,112195,66400,2025-04-12 18:00:00,Adamantite bar,2361
1744484400,2103.0,2070,78091,29670,2025-04-12 19:00:00,Adamantite bar,2361
1744488000,2097.0,2071,104269,34798,2025-04-12 20:00:00,Adamantite bar,2361
1744491600,2106.0,2073,69246,25522,2025-04-12 21:00:00,Adamantite bar,2361
1744495200,2103.0,2066,43967,56852,2025-04-12 22:00:00,Adamantite bar,2361
1744498800,2084.0,2057,93435,39382,2025-04-12 23:00:00,Adamantite bar,2361
1744502400,2087.0,2057,16575,145700,2025-04-13 00:00:00,Adamantite bar,2361
1744506000,2075.0,2044,90841,59935,2025-04-13 01:00:00,Adamantite bar,2361
1744509600,2085.0,2053,87084,61735,2025-04-13 02:00:00,Adamantite bar,2361
1744513200,2072.0,2046,51097,56888,2025-04-13 03:00:00,Adamantite bar,2361
1744516800,2064.0,2039,69148,65112,2025-04-13 04:00:00,Adamantite bar,2361
1744520400,2057.0,2029,56878,32951,2025-04-13 05:00:00,Adamantite bar,2361
1744524000,2073.0,2020,10736,22628,2025-04-13 06:00:00,Adamantite bar,2361
1744527600,2075.0,2017,24705,110313,2025-04-13 07:00:00,Adamantite bar,2361
1744531200,2089.0,2057,29922,41101,2025-04-13 08:00:00,Adamantite bar,2361
1744534800,2085.0,2055,34861,34527,2025-04-13 09:00:00,Adamantite bar,2361
1744538400,2101.0,2059,26848,108345,2025-04-13 10:00:00,Adamantite bar,2361
1744542000,2078.0,2060,35644,29733,2025-04-13 11:00:00,Adamantite bar,2361
1744545600,2100.0,2082,13038,16778,2025-04-13 12:00:00,Adamantite bar,2361
1744549200,2086.0,2064,56084,49229,2025-04-13 13:00:00,Adamantite bar,2361
1744552800,2079.0,2051,43882,51331,2025-04-13 14:00:00,Adamantite bar,2361
1744556400,2073.0,2054,30693,38967,2025-04-13 15:00:00,Adamantite bar,2361
1744560000,2076.0,2040,72554,128240,2025-04-13 16:00:00,Adamantite bar,2361
1744563600,2071.0,2037,125451,69929,2025-04-13 17:00:00,Adamantite bar,2361
1744567200,2064.0,2019,150412,175659,2025-04-13 18:00:00,Adamantite bar,2361
1744570800,2080.0,2046,18943,45319,2025-04-13 19:00:00,Adamantite bar,2361
1744574400,2077.0,2045,111788,38245,2025-04-13 20:00:00,Adamantite bar,2361
1744578000,2079.0,2045,101434,48574,2025-04-13 21:00:00,Adamantite bar,2361
1744581600,2065.0,2033,143226,75345,2025-04-13 22:00:00,Adamantite bar,2361
1744585200,2056.0,2027,99032,29284,2025-04-13 23:00:00,Adamantite bar,2361
1744588800,2052.0,2020,77304,44512,2025-04-14 00:00:00,Adamantite bar,2361
1744592400,2066.0,2030,61433,34602,2025-04-14 01:00:00,Adamantite bar,2361
1744596000,2070.0,2036,77194,28068,2025-04-14 02:00:00,Adamantite bar,2361
1744599600,2073.0,2039,48472,28977,2025-04-14 03:00:00,Adamantite bar,2361
1744603200,2071.0,2037,24021,14881,2025-04-14 04:00:00,Adamantite bar,2361
1744606800,2077.0,2052,56583,17718,2025-04-14 05:00:00,Adamantite bar,2361
1744610400,2070.0,2040,31412,15878,2025-04-14 06:00:00,Adamantite bar,2361
1744614000,2050.0,2027,49909,8981,2025-04-14 07:00:00,Adamantite bar,2361
1744617600,2078.0,2046,54153,13656,2025-04-14 08:00:00,Adamantite bar,2361
1744621200,2073.0,2052,22013,13767,2025-04-14 09:00:00,Adamantite bar,2361
1744624800,2088.0,2067,12180,44761,2025-04-14 10:00:00,Adamantite bar,2361
1744628400,2054.0,2028,58934,37706,2025-04-14 11:00:00,Adamantite bar,2361
